0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:01:11 +0530] "GET /SpringMVC/enjoy?age=54&name=Roshan&id=1234 HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:01:15 +0530] "GET /SpringMVC/ HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:01:20 +0530] "GET /SpringMVC/one HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:01:20 +0530] "GET /SpringMVC/enjoy HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:17 +0530] "GET /SpringMVC/ HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:17 +0530] "GET /SpringMVC/ HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:17 +0530] "GET /SpringMVC/ HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:24 +0530] "GET /SpringMVC/one HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:24 +0530] "GET /SpringMVC/enjoy HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:24 +0530] "GET /SpringMVC/one HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:24 +0530] "GET /SpringMVC/enjoy HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:24 +0530] "GET /SpringMVC/one HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:24 +0530] "GET /SpringMVC/enjoy HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:24 +0530] "GET /SpringMVC/one HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:24 +0530] "GET /SpringMVC/enjoy HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:24 +0530] "GET /SpringMVC/one HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:24 +0530] "GET /SpringMVC/enjoy HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:24 +0530] "GET /SpringMVC/one HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:24 +0530] "GET /SpringMVC/enjoy HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:24 +0530] "GET /SpringMVC/one HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:24 +0530] "GET /SpringMVC/enjoy HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:24 +0530] "GET /SpringMVC/one HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:24 +0530] "GET /SpringMVC/enjoy HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:24 +0530] "GET /SpringMVC/one HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Dec/2023:00:02:24 +0530] "GET /SpringMVC/enjoy HTTP/1.1" 302 -
